lr,data_time,loss,decode.loss_ce,decode.acc_seg,aux.loss_ce,aux.acc_seg,time,iter,memory,step
0.009998997606831424,0.006238079071044922,1.9560444235801697,1.3979346871376037,61.303043365478516,0.5581097364425659,61.303043365478516,1.9403241634368897,10,6481,10
0.009997883823416308,0.20052313804626465,1.8942724585533142,1.3619231939315797,45.673465728759766,0.5323492407798767,45.67384719848633,1.0787459373474122,20,4815,20
0.009996770026075326,0.19771831035614013,1.6548361420631408,1.1802689969539641,69.81430053710938,0.4745671421289444,77.43949890136719,1.0733212947845459,30,4815,30
0.009995656214806574,0.17034411430358887,1.4805766224861145,1.0239073395729066,63.844871520996094,0.4566692739725113,63.2354736328125,1.0439054489135742,40,4815,40
0.009994542389608127,0.18232061862945556,1.9283409357070922,1.4137434363365173,47.203826904296875,0.5145975083112717,57.047176361083984,1.0664781332015991,50,4815,50
0.00999342855047807,0.16935670375823975,1.6452553629875184,1.1858865082263947,57.12995529174805,0.4593688577413559,57.198143005371094,1.0574774980545043,60,4815,60
0.009992314697414482,0.17678492069244384,1.6498818278312684,1.1760801076889038,60.71968078613281,0.4738017231225967,58.833980560302734,1.0724185466766358,70,4815,70
0.009991200830415457,0.20156433582305908,1.5561804533004762,1.0985595822334289,46.392154693603516,0.4576208800077438,42.92783737182617,1.0928810358047485,80,4815,80
0.009990086949479065,0.34769525527954104,1.431101953983307,0.9928641319274902,77.0498275756836,0.4382378190755844,67.60092163085938,1.2370126724243165,90,4815,90
0.009988973054603395,0.40411128997802737,1.4911937475204469,1.0339866280555725,62.7537727355957,0.457207116484642,62.215328216552734,1.2979787111282348,100,4815,100
0.009987859145786527,0.7123122453689575,1.4076613068580628,0.9836748301982879,62.87374496459961,0.423986479640007,67.36774444580078,1.616555404663086,110,4816,110
0.009986745223026536,0.415402889251709,1.4723720669746398,1.024143260717392,71.49954223632812,0.44822878241539,56.02893829345703,1.3137856006622315,120,4816,120
0.009985631286321505,0.4233508348464966,1.5741134762763977,1.1347105979919434,55.82256317138672,0.4394028544425964,57.770538330078125,1.3291704893112182,130,4816,130
0.009984517335669517,0.4154796838760376,1.6692699313163757,1.198220282793045,57.410240173339844,0.4710496515035629,44.19279098510742,1.3117327451705934,140,4816,140
0.00998340337106865,0.4547325611114502,1.428863513469696,1.0032613098621368,67.58079528808594,0.4256022095680237,66.94469451904297,1.3453080654144287,150,4816,150
