epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,294.822,1.02392,1.76016,1.04912,1.29347,0.45064,0.46429,0.45982,0.24307,0.42928,0.42619,0.384,0.13892,2.0168,5.01528,2.60868,2.56821,0.000891125,0.000891125,0.000891125
31,304.508,1.00141,1.80327,1.13833,1.29112,0.39083,0.68095,0.6314,0.32052,0.49236,0.57092,0.60484,0.22136,1.85657,4.47376,2.26045,2.24455,0.00087875,0.00087875,0.00087875
32,314.379,0.90844,1.73976,1.08487,1.19646,0.40485,0.6527,0.55785,0.28998,0.39795,0.6289,0.53471,0.20653,1.79303,4.36573,2.72358,2.19392,0.000866375,0.000866375,0.000866375
33,324.219,0.89919,1.73439,1.03705,1.21506,0.5054,0.65031,0.57974,0.31994,0.68894,0.46192,0.55899,0.26913,1.94943,4.02242,2.95178,2.21302,0.000854,0.000854,0.000854
34,333.888,0.93859,1.68185,1.05604,1.22544,0.43936,0.59048,0.43833,0.26819,0.42894,0.59641,0.42741,0.21567,1.87035,3.82476,2.51197,2.09957,0.000841625,0.000841625,0.000841625
35,343.542,0.91046,1.77791,1.04225,1.20076,0.50577,0.6986,0.5565,0.30212,0.51214,0.58523,0.49605,0.25647,1.65819,4.30652,2.33755,1.94222,0.00082925,0.00082925,0.00082925
36,353.118,0.92151,1.75589,1.0447,1.19178,0.5238,0.74289,0.60851,0.37987,0.70093,0.54974,0.57224,0.28475,1.81856,4.31198,2.18656,2.26008,0.000816875,0.000816875,0.000816875
37,363.014,0.90059,1.68977,0.95608,1.21817,0.80928,0.55075,0.6608,0.42443,0.70195,0.49613,0.61248,0.32592,1.6002,3.74187,2.11944,1.90756,0.0008045,0.0008045,0.0008045
38,372.772,0.87828,1.53465,0.92502,1.18054,0.69421,0.6458,0.68073,0.4248,0.68631,0.60952,0.64945,0.3369,1.60564,3.84641,1.97387,1.91447,0.000792125,0.000792125,0.000792125
39,386.836,0.8675,1.64348,0.95784,1.16573,0.55755,0.57381,0.52086,0.35515,0.55972,0.52502,0.4927,0.27427,1.63943,4.1156,2.26637,1.88987,0.00077975,0.00077975,0.00077975
