epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1304,1.01976,2.46126,3.46976,1.33045,0.45423,0.6119,0.38604,0.21591,0.43417,0.6,0.36926,0.19841,1.41422,3.1249,6.9283,1.88127,0.0001375,0.0001375,0.0001375
2,26.8498,0.96926,1.9653,2.14311,1.27225,0.60066,0.36273,0.30794,0.17375,0.34276,0.10952,0.03577,0.01044,1.87136,14.7083,4.17936,2.36222,0.000287215,0.000287215,0.000287215
3,36.4927,1.09341,2.12685,1.97649,1.40863,0.42357,0.37202,0.33097,0.15707,0.37926,0.10952,0.09994,0.04812,2.07823,16.6943,4.20988,2.71598,0.000436634,0.000436634,0.000436634
4,46.3724,1.10455,2.15639,1.81082,1.34117,0.51892,0.19048,0.18222,0.09017,0.47075,0.17857,0.1432,0.0604,2.24225,8.84985,6.03185,2.82654,0.000585755,0.000585755,0.000585755
5,55.8668,1.2697,2.25718,1.81065,1.4632,0.27418,0.30714,0.16084,0.06059,0.29857,0.10952,0.06578,0.03291,2.63641,16.017,5.55772,3.63832,0.00073458,0.00073458,0.00073458
6,65.6142,1.32513,2.5705,1.78645,1.52246,0.44277,0.25476,0.1788,0.08783,0.40722,0.15714,0.13871,0.07838,2.48214,29.0205,5.57399,3.26443,0.000883107,0.000883107,0.000883107
7,75.576,1.36705,2.675,1.95117,1.58944,0.60425,0.16667,0.13128,0.05482,0.56622,0.10714,0.06288,0.02418,2.40358,14.9838,12.1415,3.52394,0.00103134,0.00103134,0.00103134
8,85.0803,1.42136,2.72812,2.14508,1.56178,0.17041,0.20141,0.12671,0.06559,0.14722,0.07143,0.04607,0.01495,2.14989,18.2578,5.53483,3.25773,0.00117927,0.00117927,0.00117927
9,94.8266,1.6382,2.71962,2.00844,1.72606,0.17068,0.13333,0.08138,0.04588,0.20122,0.14513,0.08351,0.03139,2.83829,10.394,5.93096,3.40794,0.0012401,0.0012401,0.0012401
10,104.4,1.59986,2.80132,1.96611,1.67585,0.09945,0.13333,0.08909,0.0383,0.09945,0.13333,0.08464,0.02205,2.48614,9.3263,6.69412,3.16951,0.00123886,0.00123886,0.00123886
11,114,1.44934,2.69438,1.95721,1.5458,0.10499,0.60714,0.16386,0.0466,0.18105,0.22857,0.11396,0.02123,2.47172,10.594,7.43943,3.46831,0.00123763,0.00123763,0.00123763
12,123.475,1.41691,2.59491,1.97566,1.57355,0.63713,0.14524,0.05472,0.0189,0.63671,0.13303,0.05155,0.01406,2.7756,7.484,7.42823,3.47835,0.00123639,0.00123639,0.00123639
13,132.943,1.32639,2.55677,1.83831,1.49694,0.13824,0.19286,0.07458,0.02991,0.12684,0.15714,0.08002,0.02231,2.78429,10.2611,5.86559,3.87262,0.00123515,0.00123515,0.00123515
14,142.594,1.34247,2.53859,1.69047,1.53333,0.16523,0.31429,0.13137,0.05549,0.15574,0.27857,0.11737,0.04791,2.5422,9.61112,8.97628,3.73224,0.00123391,0.00123391,0.00123391
15,152.169,1.30582,2.40506,1.68204,1.51811,0.21169,0.30476,0.14828,0.06643,0.18994,0.26905,0.1235,0.05486,2.55774,8.3098,6.91043,3.48335,0.00123268,0.00123268,0.00123268
16,162.075,1.38535,2.5372,1.78148,1.53684,0.10298,0.29389,0.07794,0.03168,0.13437,0.18095,0.05795,0.02569,2.70808,7.858,7.43161,3.46636,0.00123144,0.00123144,0.00123144
17,171.445,1.34126,2.39608,1.65002,1.4986,0.13346,0.15,0.14364,0.04338,0.63983,0.1,0.14579,0.04124,2.72045,9.17411,6.57379,3.74014,0.0012302,0.0012302,0.0012302
18,181.181,1.36694,2.33425,1.59571,1.50169,0.28928,0.35476,0.19851,0.10063,0.36416,0.24286,0.17696,0.08182,2.60874,8.17327,6.97733,3.39427,0.00122896,0.00122896,0.00122896
19,190.612,1.285,2.19232,1.6103,1.46738,0.59499,0.35309,0.33752,0.15717,0.62189,0.39524,0.30979,0.10674,2.17983,6.13842,5.4975,2.87546,0.00122773,0.00122773,0.00122773
20,200.159,1.15686,2.17525,1.39658,1.38706,0.39109,0.39615,0.38482,0.22169,0.35686,0.36043,0.34625,0.13773,2.04468,5.87092,5.86054,2.70299,0.00122649,0.00122649,0.00122649
21,209.616,1.15164,2.22702,1.3728,1.36083,0.35763,0.27857,0.29093,0.14805,0.41575,0.19286,0.2749,0.12596,2.14984,4.95181,3.31575,2.4978,0.00122525,0.00122525,0.00122525
