epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.54467,1.61982,3.19816,3.78214,1.40777,0.01354,0.76818,0.0697,0.05273,0.01292,0.73409,0.05776,0.04108,1.53404,2.98614,3.23723,1.35533,6.668e-05,6.668e-05,6.668e-05
2,11.7639,1.2435,2.34517,1.93444,1.10158,0.76551,0.875,0.85617,0.58788,0.77456,0.88636,0.86409,0.59054,1.27964,2.06329,1.61699,1.18452,0.000148545,0.000148545,0.000148545
3,15.3886,1.28828,2.2113,1.31814,1.09072,0.9268,0.62367,0.81181,0.46152,0.85144,0.58512,0.76984,0.41466,1.54441,2.32441,1.20413,1.37988,0.000228759,0.000228759,0.000228759
4,18.6824,1.29931,2.0723,1.06219,1.06202,0.7538,0.71263,0.76767,0.40939,0.7538,0.71263,0.76238,0.46384,1.50603,2.67427,1.212,1.43413,0.000307323,0.000307323,0.000307323
5,21.9821,1.23635,2.15504,1.01803,1.12005,0.70481,0.71364,0.77837,0.42925,0.70481,0.71364,0.75847,0.43401,1.51349,3.65478,1.82766,1.42528,0.000384237,0.000384237,0.000384237
6,25.234,1.37703,2.00472,1.1904,1.19612,0.44154,0.66136,0.51286,0.24156,0.50406,0.72727,0.57185,0.31445,1.55326,4.00566,3.03344,1.43467,0.0004595,0.0004595,0.0004595
7,28.5044,1.29018,1.91531,1.17683,1.10723,0.42411,0.57076,0.39997,0.2192,0.35322,0.71591,0.43876,0.25876,1.64991,4.67328,17.4928,1.5764,0.000533113,0.000533113,0.000533113
8,31.6766,1.22262,1.94434,0.9149,1.09776,0.41292,0.73919,0.39642,0.18423,0.36835,0.87045,0.4534,0.18529,1.60425,4.57204,70.8458,1.50403,0.000605076,0.000605076,0.000605076
9,34.865,1.29232,1.96514,0.96106,1.07247,0.10727,0.81364,0.12823,0.07724,0.11778,0.875,0.14323,0.08143,1.4532,3.88811,inf,1.4421,0.000675388,0.000675388,0.000675388
10,38.0991,1.25195,1.89982,0.89379,1.04322,0.05316,0.76965,0.0517,0.02717,0.05175,0.88182,0.0534,0.02725,1.53543,3.40008,48.8353,1.53391,0.00074405,0.00074405,0.00074405
11,41.3094,1.29565,2.19761,1.07012,1.14409,0.06002,0.725,0.0573,0.03139,0.06002,0.725,0.05829,0.03112,1.52481,3.84051,21.753,1.48664,0.000811062,0.000811062,0.000811062
12,44.5111,1.42433,1.95963,0.95619,1.19574,0.20943,0.54773,0.1965,0.11483,0.20943,0.54773,0.19932,0.10564,1.38688,11.1818,4.56651,1.55746,0.000876424,0.000876424,0.000876424
13,47.739,1.36691,1.90306,0.95306,1.17415,0.49731,0.83636,0.72934,0.34775,0.49731,0.83636,0.74286,0.37115,1.58926,3.51121,2.07849,1.60814,0.000940135,0.000940135,0.000940135
14,50.9508,1.33946,1.88048,0.97743,1.0992,0.49731,0.83636,0.72934,0.34775,0.49731,0.83636,0.74286,0.37115,1.58926,3.51121,2.07849,1.60814,0.0010022,0.0010022,0.0010022
15,54.1247,1.30931,1.87438,1.05504,1.11247,0.78672,0.92045,0.95103,0.54941,0.78395,0.90909,0.94359,0.49636,1.38531,4.22796,2.6497,1.57565,0.00106261,0.00106261,0.00106261
16,57.3152,1.25554,1.83764,0.88174,1.11497,0.8485,0.85227,0.93913,0.56763,0.8774,0.86364,0.94292,0.54444,1.37396,4.29471,1.79933,1.66315,0.00112137,0.00112137,0.00112137
17,60.5019,1.29975,1.88226,0.84087,1.0957,0.68435,0.90675,0.90318,0.52059,0.68435,0.90675,0.90588,0.44191,1.42198,4.81765,2.78917,1.65473,0.00117848,0.00117848,0.00117848
18,63.6482,1.32244,1.98852,0.88887,1.11759,0.68435,0.90675,0.90318,0.52059,0.68435,0.90675,0.90588,0.44191,1.42198,4.81765,2.78917,1.65473,0.00123394,0.00123394,0.00123394
19,66.8698,1.35712,2.00715,0.89176,1.12511,0.78985,0.88577,0.90844,0.53808,0.84126,0.93266,0.96614,0.546,1.48395,3.17747,1.42296,1.58556,0.00128774,0.00128774,0.00128774
20,70.0692,1.29438,1.93447,0.84548,1.0817,0.78142,0.67732,0.81707,0.51306,0.80176,0.73247,0.84347,0.43126,1.41819,4.9824,1.16192,1.49371,0.0013399,0.0013399,0.0013399
21,73.2788,1.34758,2.19186,0.94858,1.12508,0.78142,0.67732,0.81707,0.51306,0.80176,0.73247,0.84347,0.43126,1.41819,4.9824,1.16192,1.49371,0.00133693,0.00133693,0.00133693
22,76.504,1.46392,2.19205,0.92719,1.15908,0.73931,0.72955,0.79542,0.47226,0.66274,0.64091,0.70559,0.32418,1.49717,6.01005,1.40369,1.57682,0.00132043,0.00132043,0.00132043
23,79.718,1.38472,1.99986,0.85822,1.13113,0.8397,0.84557,0.91714,0.54076,0.87273,0.82961,0.9148,0.50321,1.50528,4.16792,1.3567,1.63116,0.00130393,0.00130393,0.00130393
24,83.0065,1.32534,1.99804,0.90288,1.1449,0.8397,0.84557,0.91714,0.54076,0.87273,0.82961,0.9148,0.50321,1.50528,4.16792,1.3567,1.63116,0.00128742,0.00128742,0.00128742
25,86.199,1.29007,1.93023,0.83288,1.1265,0.81838,0.81818,0.89701,0.56403,0.81838,0.81818,0.88762,0.5602,1.41397,3.6135,1.09032,1.51216,0.00127092,0.00127092,0.00127092
26,89.3961,1.2714,1.80579,0.79866,1.11149,0.81838,0.81818,0.89701,0.56403,0.81838,0.81818,0.88762,0.5602,1.41397,3.6135,1.09032,1.51216,0.00125442,0.00125442,0.00125442
27,92.6266,1.27366,1.93152,0.85299,1.13923,0.75642,0.825,0.8581,0.52235,0.80046,0.87415,0.90996,0.58283,1.37867,3.15573,1.59614,1.52472,0.00123791,0.00123791,0.00123791
28,95.8486,1.28899,1.79094,0.8686,1.14388,0.73883,0.89128,0.89742,0.54067,0.80709,0.92045,0.91678,0.57955,1.34231,2.85207,1.06253,1.47784,0.00122141,0.00122141,0.00122141
29,99.0337,1.20075,1.7139,0.7791,1.08426,0.73883,0.89128,0.89742,0.54067,0.80709,0.92045,0.91678,0.57955,1.34231,2.85207,1.06253,1.47784,0.00120491,0.00120491,0.00120491
30,102.27,1.25441,1.77468,0.83554,1.08793,0.88511,0.79835,0.77415,0.42689,0.89474,0.80971,0.82195,0.45943,1.43065,2.64318,1.02626,1.45298,0.0011884,0.0011884,0.0011884
