epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,150.953,1.30582,2.40506,1.68204,1.51811,0.21169,0.30476,0.14828,0.06643,0.18994,0.26905,0.1235,0.05486,2.55774,8.3098,6.91043,3.48335,0.00123268,0.00123268,0.00123268
16,160.909,1.38535,2.5372,1.78148,1.53684,0.10298,0.29389,0.07794,0.03168,0.13437,0.18095,0.05795,0.02569,2.70808,7.858,7.43161,3.46636,0.00123144,0.00123144,0.00123144
17,170.226,1.34126,2.39608,1.65002,1.4986,0.13346,0.15,0.14364,0.04338,0.63983,0.1,0.14579,0.04124,2.72045,9.17411,6.57379,3.74014,0.0012302,0.0012302,0.0012302
18,180.099,1.36694,2.33425,1.59571,1.50169,0.28928,0.35476,0.19851,0.10063,0.36416,0.24286,0.17696,0.08182,2.60874,8.17327,6.97733,3.39427,0.00122896,0.00122896,0.00122896
19,189.588,1.285,2.19232,1.6103,1.46738,0.59499,0.35309,0.33752,0.15717,0.62189,0.39524,0.30979,0.10674,2.17983,6.13842,5.4975,2.87546,0.00122773,0.00122773,0.00122773
20,199.283,1.15686,2.17525,1.39658,1.38706,0.39109,0.39615,0.38482,0.22169,0.35686,0.36043,0.34625,0.13773,2.04468,5.87092,5.86054,2.70299,0.00122649,0.00122649,0.00122649
21,208.806,1.15164,2.22702,1.3728,1.36083,0.35763,0.27857,0.29093,0.14805,0.41575,0.19286,0.2749,0.12596,2.14984,4.95181,3.31575,2.4978,0.00122525,0.00122525,0.00122525
22,218.582,1.1482,2.13384,1.40305,1.36234,0.25897,0.39286,0.21575,0.08922,0.41595,0.23727,0.18466,0.06949,2.33564,5.5081,3.93452,2.71082,0.00122401,0.00122401,0.00122401
23,228.105,1.15559,1.95909,1.28678,1.38782,0.63863,0.35062,0.34619,0.11255,0.15663,0.6381,0.22565,0.06267,2.36179,5.47685,5.0196,2.9949,0.00122277,0.00122277,0.00122277
24,237.817,1.19072,2.15108,1.38763,1.3773,0.309,0.57587,0.35802,0.17406,0.25198,0.4381,0.30632,0.12717,2.15151,4.8521,4.11254,2.51238,0.00122154,0.00122154,0.00122154
25,247.994,1.23469,2.0185,1.39707,1.43971,0.19511,0.35476,0.21311,0.09485,0.39048,0.15952,0.12875,0.02794,2.13387,5.43193,4.00114,2.70672,0.0012203,0.0012203,0.0012203
26,257.536,1.17182,1.97549,1.32839,1.34793,0.74242,0.1287,0.16872,0.07015,0.43163,0.12143,0.11486,0.04604,2.35647,5.78112,3.88356,2.9752,0.00121906,0.00121906,0.00121906
27,267.212,1.0796,1.96207,1.22157,1.28672,0.56239,0.44353,0.44342,0.2354,0.33743,0.37692,0.28703,0.11986,1.99298,5.10995,3.21329,2.40779,0.00121783,0.00121783,0.00121783
28,276.828,1.09627,2.03267,1.23091,1.30956,0.48952,0.59062,0.54287,0.23694,0.29557,0.3381,0.30073,0.10419,2.10947,4.58002,3.22708,2.41111,0.00121659,0.00121659,0.00121659
29,286.467,1.12476,1.98645,1.28475,1.35843,0.66068,0.46681,0.54947,0.22572,0.46168,0.36564,0.36909,0.11231,2.20052,4.92987,2.90797,2.85537,0.00121535,0.00121535,0.00121535
30,296.037,1.11297,1.98102,1.23365,1.35899,0.41852,0.52162,0.50393,0.23873,0.42241,0.52083,0.46335,0.15142,2.04869,4.71636,3.28799,2.64796,0.00121411,0.00121411,0.00121411
31,305.725,1.12697,2.00603,1.30175,1.35948,0.61701,0.59048,0.6502,0.32985,0.50724,0.45476,0.5103,0.18457,2.13859,4.59852,2.70774,2.6374,0.00121287,0.00121287,0.00121287
32,315.871,1.04964,1.84375,1.20335,1.29115,0.57283,0.62857,0.61987,0.34227,0.5193,0.51905,0.51643,0.22445,2.02498,4.63192,3.09252,2.87165,0.00121164,0.00121164,0.00121164
33,325.863,1.06688,2.05703,1.22334,1.33738,0.57111,0.68209,0.61547,0.35788,0.60882,0.47962,0.52681,0.26835,1.92842,4.65288,2.09697,2.54812,0.0012104,0.0012104,0.0012104
34,335.726,1.0794,1.88055,1.19193,1.30156,0.76101,0.49762,0.63877,0.39126,0.69914,0.47403,0.58817,0.27281,1.78863,4.43297,2.13241,2.29406,0.00120916,0.00120916,0.00120916
35,345.463,1.02491,2.00298,1.16268,1.25681,0.42297,0.45082,0.4109,0.25395,0.29237,0.38333,0.30337,0.15934,1.76131,4.91469,4.44739,2.29111,0.00120793,0.00120793,0.00120793
